STATE,ANNUAL
MARANHÃO,5301
MARANHÃO,5588
MARANHÃO,5128
MARANHÃO,5362
MARANHÃO,5525
MARANHÃO,4983
MARANHÃO,5102
MARANHÃO,5174
MARANHÃO,5319
MARANHÃO,5145
MARANHÃO,5567
MARANHÃO,5292
MARANHÃO,4934
MARANHÃO,5015
MARANHÃO,5074
MARANHÃO,5067
MARANHÃO,5324
MARANHÃO,5511
MARANHÃO,5554
MARANHÃO,5637
MARANHÃO,4895
MARANHÃO,5155
MARANHÃO,5111
MARANHÃO,5208
MARANHÃO,5208
MARANHÃO,5267
MARANHÃO,5559
MARANHÃO,5651
MARANHÃO,4984
MARANHÃO,5159
MARANHÃO,5219
MARANHÃO,5216
MARANHÃO,5331
MARANHÃO,5331
MARANHÃO,5621
MARANHÃO,4982
MARANHÃO,5211
MARANHÃO,5318
MARANHÃO,5592
MARANHÃO,5582
MARANHÃO,5018
MARANHÃO,5278
MARANHÃO,5278
MARANHÃO,5207
MARANHÃO,5366
MARANHÃO,5221
MARANHÃO,5342
MARANHÃO,5363
MARANHÃO,5148
MARANHÃO,5178
MARANHÃO,5461
MARANHÃO,4960
MARANHÃO,5038
MARANHÃO,5154
MARANHÃO,5223
MARANHÃO,5134
MARANHÃO,5140
MARANHÃO,5272
MARANHÃO,5169
MARANHÃO,4990
MARANHÃO,4990
MARANHÃO,4990
MARANHÃO,5678
MARANHÃO,4920
MARANHÃO,4968
MARANHÃO,4968
MARANHÃO,5421
MARANHÃO,5547
MARANHÃO,5596
MARANHÃO,5143
MARANHÃO,5199
MARANHÃO,5289
MARANHÃO,5014
MARANHÃO,5102
MARANHÃO,5102
MARANHÃO,5315
MARANHÃO,5253
MARANHÃO,4851
MARANHÃO,4954
MARANHÃO,5039
MARANHÃO,5208
MARANHÃO,5170
MARANHÃO,5305
MARANHÃO,5361
MARANHÃO,4924
MARANHÃO,5038
MARANHÃO,5235
MARANHÃO,5383
MARANHÃO,4915
MARANHÃO,4915
MARANHÃO,4915
MARANHÃO,5052
MARANHÃO,4797
MARANHÃO,4865
MARANHÃO,5031
MARANHÃO,5053
MARANHÃO,4842
MARANHÃO,5133
MARANHÃO,4866
MARANHÃO,4899
MARANHÃO,5181
MARANHÃO,4820
MARANHÃO,5028
MARANHÃO,4817
MARANHÃO,4827
MARANHÃO,4919
MARANHÃO,5112
MARANHÃO,4881
MARANHÃO,4881
MARANHÃO,4920
MARANHÃO,4927
MATO GROSSO,5258
MATO GROSSO,5346
MATO GROSSO,5350
MATO GROSSO,5321
MATO GROSSO,5424
MATO GROSSO,5425
MATO GROSSO,5436
